key	access	api	method	dex	codeOffset	instructionOffset	literalDefault	evidenceClass
android.intent.extras.CAMERA_PREFIX_RATIO_ENTRY	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/SettingContext;->onNewIntent(Landroid/content/Intent;Z)V	classes5.dex	0x2277fc	0x28		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_RAW_VALUE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x16		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_RES_FPS	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x101		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_RETOUCHING	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x139		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SLOW_MOTION_RES_FPS	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x109		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SPEED	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x151		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0x4f		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseCameraMode(Landroid/content/Intent;)V	classes5.dex	0x21279c	0x1c3		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0x106		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0x10c		VERIFIED_STATIC_CALL_SITE
