key	access	api	method	dex	codeOffset	instructionOffset	literalDefault	evidenceClass
android.intent.extras.CAMERA_PREFIX_WATERMARK_SETTING	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x8a		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_WATERMARK_STYLE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x46		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_WATERMARK_TIME	READ	Landroid/os/Bundle;->containsKey(Ljava/lang/String;)Z	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x6b		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_WATERMARK_TIME	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x71		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseCameraMode(Landroid/content/Intent;)V	classes5.dex	0x21279c	0x151		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0x113		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0x119		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_SUB_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToParseIdAndModeFromNewIntent(Landroid/content/Intent;Z)V	classes5.dex	0x212d48	0x1d8		VERIFIED_STATIC_CALL_SITE
com.google.assistant.extra.CAMERA_MODE	READ	Landroid/content/Intent;->hasExtra(Ljava/lang/String;)Z	Lcom/nothing/common/setting/LaunchIntentParser;->isGoogleAssistantIntent(Landroid/content/Intent;)Z	classes5.dex	0x20f99c	0x39		VERIFIED_STATIC_CALL_SITE
com.google.assistant.extra.CAMERA_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0xb		VERIFIED_STATIC_CALL_SITE
