key	access	api	method	dex	codeOffset	instructionOffset	literalDefault	evidenceClass
SelectPosition	READ	Landroid/content/Intent;->getIntExtra(Ljava/lang/String;I)I	Lcom/nothing/camera/preset/about/PresetAboutActivity;->onCreate(Landroid/os/Bundle;)V	classes4.dex	0x4bfb04	0x1e	1	VERIFIED_STATIC_CALL_SITE
SelectPosition	WRITE	Landroid/content/Intent;->putExtra(Ljava/lang/String;I)Landroid/content/Intent;	Lcom/nothing/camera/ui/settingsui/PresetSettingFragment;->jumpToAboutActivity(I)V	classes4.dex	0x533c20	0xf		VERIFIED_STATIC_CALL_SITE
android.intent.extra.REFERRER_NAME	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/SecureCameraActivity;->onCreate(Landroid/os/Bundle;)V	classes4.dex	0x3a3b74	0x25		VERIFIED_STATIC_CALL_SITE
android.intent.extra.REFERRER_NAME	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/ui/uicontext/CameraUIContext;->checkGoogleAssistFlag(Landroid/content/Intent;)Z	classes4.dex	0x547f18	0xf		VERIFIED_STATIC_CALL_SITE
android.intent.extra.REFERRER_NAME	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->isGoogleAssistantIntent(Landroid/content/Intent;)Z	classes5.dex	0x20f99c	0x4b		VERIFIED_STATIC_CALL_SITE
android.intent.extra.REFERRER_NAME	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseGoogleAssistantTimer(Landroid/content/Intent;)V	classes5.dex	0x212cac	0x13		VERIFIED_STATIC_CALL_SITE
android.intent.extra.durationLimit	READ	Landroid/content/Intent;->getIntExtra(Ljava/lang/String;I)I	Lcom/nothing/common/setting/LaunchIntentParser;->getMaxVideoDurationInMs()I	classes5.dex	0x20fd84	0x5	0	VERIFIED_STATIC_CALL_SITE
android.intent.extra.quickCapture	READ	Landroid/content/Intent;->getBooleanExtra(Ljava/lang/String;Z)Z	Lcom/nothing/common/setting/LaunchIntentParser;->isQuickCapture()Z	classes5.dex	0x20fb50	0x5	0	VERIFIED_STATIC_CALL_SITE
android.intent.extra.sizeLimit	READ	Landroid/content/Intent;->getLongExtra(Ljava/lang/String;J)J	Lcom/nothing/common/setting/LaunchIntentParser;->getVideoSizeLimit()J	classes5.dex	0x2112f8	0x6		VERIFIED_STATIC_CALL_SITE
android.intent.extra.videoQuality	READ	Landroid/content/Intent;->hasExtra(Ljava/lang/String;)Z	Lcom/nothing/common/setting/LaunchIntentParser;->parseVideoQuality()Ljava/lang/String;	classes5.dex	0x2104b0	0x38		VERIFIED_STATIC_CALL_SITE
android.intent.extra.videoQuality	READ	Landroid/content/Intent;->getIntExtra(Ljava/lang/String;I)I	Lcom/nothing/common/setting/LaunchIntentParser;->parseVideoQuality()Ljava/lang/String;	classes5.dex	0x2104b0	0x41	5	VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_FACING	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0x112		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_FACING	READ	Landroid/content/Intent;->getIntExtra(Ljava/lang/String;I)I	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0xf1	0	VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0x55		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseCameraMode(Landroid/content/Intent;)V	classes5.dex	0x21279c	0xd1		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToParseIdAndModeFromNewIntent(Landroid/content/Intent;Z)V	classes5.dex	0x212d48	0x189		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_ACTION_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x2e		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_BOKEH	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x141		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_COLOR_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x161		VERIFIED_STATIC_CALL_SITE
